NHM specimen number,Image filename,View,Species,Subspecies,Sex,Additional taxonomic information (from specimen labels),Type Status,Hybrid status of additional taxonomic information,Included in reduced dataset,Locality,Locality latitude,Locality longitude
10428474,10428474_D_lowres.tif,dorsal,melpomene,vulcanus,female,f._fumosa_hyb.,,hybrid,0,"Rio Guachaca, COL MA",11.26666667,-73.81666667
10428329,10428329_V_lowres.tif,ventral,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,Bas Maroni FRG LM,5.25,-54.25
10429182,10429182_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,San Ramon NIC ZE,14.66666667,-84.68333333
10429095,10429095_D_lowres.tif,dorsal,erato,luscombei,female,luscombei,,valid subspecies,1,Iquitos PER LO,-3.75,-73.25
10428459,10428459_V_lowres.tif,ventral,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Villavicencio COL ME,4.15,-73.63333333
10428230,10428230_V_lowres.tif,ventral,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Rio Pishcobamba via Vilcabamba ECD LO,-4.273538889,-79.20461389
10428939,10428939_D_lowres.tif,dorsal,erato,microclea,male,f._microclea,,subspecies synonym,1,Huacamayo Rio PER PU,-13.5,-69.68333333
10428382,10428382_D_lowres.tif,dorsal,melpomene,melpomene,female,f._luteipicta_hyb.,,hybrid,0,Godebert - Maroni FRG,5.516666667000001,-53.96666667
10428614,10428614_D_lowres.tif,dorsal,erato,phyllis,female,f._phyllis,,subspecies synonym,1,Ceara BRA CE,-3.7166666669999997,-38.5
10428460,10428460_V_lowres.tif,ventral,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Chili Rio COL TO,4.119722222,-75.25944444
10428960,10428960_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Isla Carmen MEX CA,18.70348611,-91.67574444
10428701,10428701_D_lowres.tif,dorsal,erato,amalfreda,male,ab._leda_hyb,,hybrid,0,Isthmus PAN ,,
10429180,10429180_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Venezuela COUNTRY,,
10429173,10429173_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Cape Gracias NIC,15.0,-83.15
10428111,10428111_D_lowres.tif,dorsal,melpomene,aglaope,male,f._rubescens_hyb.,HT,hybrid,0,Chuchurras PER PA,-10.15,-75.23333333
10428248,10428248_D_lowres.tif,dorsal,melpomene,schunkei,male,ab._rubra,,subspecies synonym,1,Callanga (Hda) PER CU,15.25,-90.13333333
10428989,10428989_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Pastaza ECD ,-1.538391667,-78.06732222
10428101,10428101_V_lowres.tif,ventral,melpomene,xenoclea,male,f._xenoclea,,subspecies synonym,1,Chanchamayo PER JU,-11.06666667,-75.31666667
10428024,10428024_D_lowres.tif,dorsal,melpomene,vulcanus,female,vulcanus,,valid subspecies,1,Dagua Rio COL VC,3.55,-76.65
10428711,10428711_V_lowres.tif,ventral,erato,erato,male,f._fuliginosa,,subspecies synonym,1,Berg - en - Dal SUR BR,5.15,-55.06666667
10429013,10429013_V_lowres.tif,ventral,erato,notabilis,male,f._notabilis,,subspecies synonym,1,Alpayacu ECD PA,-1.466666667,-78.11666667
10428484,10428484_D_lowres.tif,dorsal,melpomene,melpomene,male,melpomene,,valid subspecies,1,San Fernando VEN AP,7.896666667000001,-67.46722222
10429085,10429085_D_lowres.tif,dorsal,erato,luscombei,male,luscombei,PT,valid subspecies,1,Puerto Maldonado PER MD,-12.6,-69.18333333
10429213,10429213_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Monte Lirio PAN CZ,9.233333333,-79.85
10429249,10429249_V_lowres.tif,ventral,erato,demophoon,female,demophoon,,valid subspecies,1,Bogota  COL CN,4.339611111,-74.36422222
10428465,10428465_V_lowres.tif,ventral,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Crystallina COL AN,6.416666667,-74.58333333
10428734,10428734_V_lowres.tif,ventral,erato,hydara,female,ab._tristis,,hybrid,0,Estrella CRI LI,9.716666667,-83.11666667
10428129,10428129_D_lowres.tif,dorsal,melpomene,amaryllis,male,melpophylla_hyb.,,hybrid,0,Yumbatos PER SM,-6.316666667000001,-76.28333333
10428794,10428794_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,La Mesa COL CN,4.65,-74.43333333
10428068,10428068_D_lowres.tif,dorsal,melpomene,cythera,female,cythera,,valid subspecies,1,Balzapamba ECD BO,-1.783333333,-79.16666667
10428623,10428623_V_lowres.tif,ventral,erato,phyllis,male,f._phyllis,,subspecies synonym,1,Burity BRA MO,-15.43333333,-55.83333333
10428423,10428423_V_lowres.tif,ventral,melpomene,melpomene,female,f._melpomene,,subspecies synonym,1,Santarem BRA PA,-2.433333333,-54.71666667
10429044,10429044_D_lowres.tif,dorsal,erato,notabilis,female,f._rothschildi_hyb.,,hybrid,0,Rio Negro  COL,4.25,-73.75
10428008,10428008_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Barrios GUA,15.71666667,-88.6
10428481,10428481_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_part.,,hybrid,0,San Martin COL ME,3.7,-73.7
10429114,10429114_D_lowres.tif,dorsal,erato,emma,male,emma,,valid subspecies,1,Madre de Dios Rio Alto PER CU,-12.26666667,-70.93333333
10428302,10428302_D_lowres.tif,dorsal,melpomene,burchelli,male,burchelli,,valid subspecies,0,Melguira BRA MO,-14.53333333,-56.31666667
10428418,10428418_D_lowres.tif,dorsal,melpomene,melpomene,female,f._melpomene,,subspecies synonym,1,"Cucaru, Monte Alegre BRA PA",-2.016666667,-54.06666667
10428269,10428269_V_lowres.tif,ventral,melpomene,schunkei,female,ab._rubra,,subspecies synonym,1,Chaquimayo PER PU,-13.43333333,-70.38333333
10428069,10428069_D_lowres.tif,dorsal,melpomene,cythera,female,cythera,,valid subspecies,1,Los Llanos ECD CH,-2.05,-78.96666667
10429216,10429216_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Colon PAN CN,9.366666667,-79.9
10428441,10428441_V_lowres.tif,ventral,melpomene,melpomene,female,ab._atrosecta,,subspecies synonym,0,Obidos BRA PA,-1.9,-55.51666667
10429158,10429158_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Tegucigalpa HON FM,14.1,-87.21666667
10427968,10427968_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Juan Vinas CRI CA,9.9,-83.73333333
10428777,10428777_D_lowres.tif,dorsal,erato,hydara,female,f._hydara,,subspecies synonym,1,Cienaga COL MA,11.00944444,-74.25416667
10428290,10428290_V_lowres.tif,ventral,melpomene,amandus,male,penelope_f._amandoides_hyb.,,hybrid,0,Buenavista BOL SC,-17.45,-64.66666667
10429178,10429178_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Cachi CRI CA,9.833333332999999,-83.8
10428990,10428990_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Pastaza Rio ECD PA,-1.538391667,-78.06732222
10428362,10428362_D_lowres.tif,dorsal,melpomene,thelxiopeia,female,thelxiopeia,,valid subspecies,0,St Laurent du Maroni FRG LM,5.5,-54.03333333
10428989,10428989_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Pastaza ECD ,-1.538391667,-78.06732222
10428661,10428661_D_lowres.tif,dorsal,erato,erato,male,erato,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10428907,10428907_D_lowres.tif,dorsal,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,no data,,
10428110,10428110_D_lowres.tif,dorsal,melpomene,xenoclea,female,f._xenoclea,,subspecies synonym,1,Burica Island PAN CQ,8.016666667,-82.88333333
10428479,10428479_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_part.,,hybrid,0,Ecuador  COUNTRY,,
10428386,10428386_D_lowres.tif,dorsal,melpomene,melpomene,male,ab._primus_hyb.,HT,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428379,10428379_V_lowres.tif,ventral,melpomene,malleti,male,f._luteipicta_hyb.,,hybrid,0,Nouveau Chantier FRG LM,5.55,-53.93333333
10428444,10428444_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Cuyaba- Coramba River system,-17.316667000000002,-56.7
10429229,10429229_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Parida Island PAN CQ,8.116666667,-82.33333333
10428983,10428983_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Panima GUA,15.25,-90.13333333
10428504,10428504_V_lowres.tif,ventral,erato,phyllis,male,phyllis,,valid subspecies,1,Ecuador  COUNTRY,,
10427981,10427981_V_lowres.tif,ventral,melpomene,rosina,female,rosina,,valid subspecies,1,Ambato environs ECD TU,,
10428519,10428519_D_lowres.tif,dorsal,erato,phyllis,male,f._athene_hyb.,,hybrid,0,Ecuador  COUNTRY,,
10428384,10428384_V_lowres.tif,ventral,melpomene,melpomene,male,ab._primus_hyb.,,hybrid,0,St Jean du Maroni FRG LM,5.4,-54.08333333
10428324,10428324_D_lowres.tif,dorsal,melpomene,nanna,male,nanna_burchelli,ST,unknown,0,Itaparica BRA BA,15.31638889,-89.08305556
10428451,10428451_D_lowres.tif,dorsal,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Cuyaba- Coramba River system BRA MG,-17.316667000000002,-56.7
10428065,10428065_D_lowres.tif,dorsal,melpomene,cythera,female,cythera,ST,valid subspecies,1,Bolivia COUNTRY,,
10428039,10428039_V_lowres.tif,ventral,melpomene,cythera,male,vulcanus_sticheli,,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10428124,10428124_V_lowres.tif,ventral,melpomene,amaryllis,female,amaryllis,,valid subspecies,1,Tarapoto PER SM,-6.483333332999999,-76.36666667
10428214,10428214_V_lowres.tif,ventral,melpomene,malleti,female,f._gratiosa_hyb.,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428980,10428980_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Ob. Pastaza ECD,-1.538391667,-78.06732222
10428358,10428358_V_lowres.tif,ventral,melpomene,thelxiopeia,male,thelxiopeia,,valid subspecies,1,St Laurent du Maroni FRG LM,5.5,-54.03333333
10428300,10428300_D_lowres.tif,dorsal,melpomene,amandus,female,nr._aphrodyte_hyb.,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10429235,10429235_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,West Columbia COL,,
10428725,10428725_D_lowres.tif,dorsal,erato,hydara,male,ab._tristis,,hybrid,0,Sixaola Rio CRI LI,9.556530556,-82.73621389
10429086,10429086_V_lowres.tif,ventral,erato,luscombei,male,luscombei,,valid subspecies,1,Pebas PER LO,-3.316666667,-71.85
10428061,10428061_V_lowres.tif,ventral,melpomene,cythera,male,cythera,,valid subspecies,1,Los Llanos ECD CH,-2.05,-78.96666667
10428216,10428216_V_lowres.tif,ventral,melpomene,ecuadorensis,male,ecuadorensis,,valid subspecies,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428766,10428766_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,Frontino COL AN,6.766666667000001,-76.13333333
10428782,10428782_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,Chili Rio COL TO,4.119722222,-75.25944444
10428662,10428662_D_lowres.tif,dorsal,erato,erato,male,erato,,valid subspecies,1,St Jean du Maroni FRG LM,5.4,-54.08333333
10429116,10429116_D_lowres.tif,dorsal,erato,lativitta,male,f._lativitta,,subspecies synonym,1,Guajara-Mirim BOL BE,-10.8,-65.38333333
10428052,10428052_V_lowres.tif,ventral,melpomene,cythera,female,vulcanus_sticheli,ST,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10428120,10428120_V_lowres.tif,ventral,melpomene,amaryllis,male,amaryllis,,valid subspecies,1,Moyobamba PER SM,-6.033333333,-76.96666667
10428813,10428813_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,Popayan COL CC,2.45,-76.6
10428190,10428190_V_lowres.tif,ventral,melpomene,plesseni,male,plesseni,,valid subspecies,0,Balzapamba ECD BO,-1.783333333,-79.16666667
10429035,10429035_V_lowres.tif,ventral,erato,notabilis,female,radiata_hyb.,,hybrid,0,Rio Cachiaco; Iquitos ,-3.75,-73.25
10429155,10429155_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Ucayali Rio PER,-4.466666667,-73.51666667
10428062,10428062_D_lowres.tif,dorsal,melpomene,cythera,male,cythera,,valid subspecies,1,Bolivia COUNTRY,,
10428546,10428546_V_lowres.tif,ventral,erato,phyllis,male,anacreon,,hybrid,0,Rio Mamore prov Sara BOL SC,-17.25,-63.75
10429150,10429150_V_lowres.tif,ventral,erato,dignus,male,f._meliorina,ST,hybrid,0,Mocoa COL PU,1.15,-76.61666667
10428880,10428880_V_lowres.tif,ventral,erato,cyrbia,male,f._cyrbia,,subspecies synonym,1,no data,,
10428824,10428824_D_lowres.tif,dorsal,erato,hydara,male,f._hydara,,subspecies synonym,1,Caracas  VEN DF,10.5,-66.91666667
10427966,10427966_D_lowres.tif,dorsal,melpomene,rosina,male,rosina,,valid subspecies,1,Chontales NIC CH,10.75,-84.25
10429121,10429121_D_lowres.tif,dorsal,erato,lativitta,male,f._lativitta,,subspecies synonym,1,Jurua Rio BRA ??,-1.5833333330000001,-77.75
10428835,10428835_V_lowres.tif,ventral,erato,hydara,female,f._hydara,,subspecies synonym,1,Patao Guiria VEN SU,10.66666667,-62.05
10428985,10428985_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Paraguay  COUNTRY,,
10428558,10428558_D_lowres.tif,dorsal,erato,venustus,male,venustus_transitional,,hybrid,0,Juntas Rio BOL SC,-17.3,-64.3
10428846,10428846_V_lowres.tif,ventral,erato,venus,male,venus,,valid subspecies,1,Nicaragua COUNTRY,,
10428952,10428952_D_lowres.tif,dorsal,erato,petiverana,female,petiverana,,valid subspecies,1,Tampico MEX TM,22.23333333,-97.85
10428943,10428943_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,no data,,
10428512,10428512_V_lowres.tif,ventral,erato,amphitrite,female,f._sperata_hyb.,ST,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428194,10428194_V_lowres.tif,ventral,melpomene,plesseni,male,unimaculata,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428286,10428286_D_lowres.tif,dorsal,melpomene,schunkei,male,schunkei,PT,valid subspecies,1,Puerto Maldonado PER MD,-12.6,-69.18333333
10429242,10429242_V_lowres.tif,ventral,erato,demophoon,male,demophoon,,valid subspecies,1,El Santuario COL TO,4.916666667,-74.8
10429219,10429219_V_lowres.tif,ventral,erato,petiverana,female,petiverana,,valid subspecies,1,Rey Isla del PAN PA,8.355436111,-78.90127778
10428035,10428035_V_lowres.tif,ventral,melpomene,cythera,male,ab._modesta,,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10429008,10429008_D_lowres.tif,dorsal,erato,favorinus,female,f._pseudoanacreon,,hybrid,0,Balsapuerto PER LO,-5.833333333,-76.56666667
10428542,10428542_V_lowres.tif,ventral,erato,phyllis,male,anacreon,,hybrid,0,Bueyes BOL SC,-17.8,-63.16666667
10428243,10428243_D_lowres.tif,dorsal,melpomene,aglaope,male,f._cognata,ST,subspecies synonym,1,Cauca COL,,
10428511,10428511_D_lowres.tif,dorsal,erato,amphitrite,female,f._sperata_hyb.,,hybrid,0,Santa Cruz de la Sierra BOL SC,-17.8,-63.16666667
10428320,10428320_D_lowres.tif,dorsal,melpomene,nanna,male,nanna,,valid subspecies,1,Espirito Santo BRA ES,-20.33333333,-40.28333333
10428869,10428869_D_lowres.tif,dorsal,erato,cyrbia,female,ab._diformata_hyb.,,hybrid,0,Paramba ECD IM,0.816666667,-78.35
10429239,10429239_D_lowres.tif,dorsal,erato,demophoon,male,demophoon,,valid subspecies,1,Cananche COL BY,5.588333333,-74.28611111
10427983,10427983_V_lowres.tif,ventral,melpomene,rosina,female,rosina,,valid subspecies,1,Santa Clara Valley CRI LI,10.25,-83.75
10429143,10429143_V_lowres.tif,ventral,erato,lativitta,female,f._lativitta,,subspecies synonym,1,Sena Madureira BRA AC,-9.083333332999999,-68.68333333
10428449,10428449_V_lowres.tif,ventral,melpomene,vulcanus,male,f._fumosa_hyb.,,hybrid,0,Muzo COL BY,5.533333333,-74.1
10428710,10428710_V_lowres.tif,ventral,erato,erato,male,f._fuliginosa,ST,subspecies synonym,1,Itaituba - Obidos BRA PA,-4.283333333,-55.98333333
10428940,10428940_V_lowres.tif,ventral,erato,microclea,male,f._microclea,,subspecies synonym,1,Oroya PER PU,-13.88333333,-69.63333333
10429209,10429209_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Balboa PAN PA,8.95,-79.56666667
10428551,10428551_D_lowres.tif,dorsal,erato,venustus,male,ab._Ottonis,,hybrid,0,Ecuador  COUNTRY,,
10428187,10428187_D_lowres.tif,dorsal,melpomene,plesseni,male,f._fraterna,ST,subspecies synonym,1,Canelos ECD PA,-1.5833333330000001,-77.75
10428038,10428038_V_lowres.tif,ventral,melpomene,cythera,male,vulcanus_sticheli,,hybrid,0,Bogota COL CU,,
10427995,10427995_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Sevilla Isla PAN CQ,8.249916667,-82.37594722
10429196,10429196_D_lowres.tif,dorsal,erato,petiverana,male,petiverana,,valid subspecies,1,Piedras Negras CRI SJ,9.916666667000001,-84.31666667
10428233,10428233_D_lowres.tif,dorsal,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Napo ECD NA,-1.5833333330000001,-77.75
10428120,10428120_D_lowres.tif,dorsal,melpomene,amaryllis,male,amaryllis,,valid subspecies,1,Moyobamba PER SM,-6.033333333,-76.96666667
10429065,10429065_D_lowres.tif,dorsal,erato,etylus,male,f._etylus,,subspecies synonym,1,Churuyacu ECD NA,-1.5833333330000001,-77.75
10428184,10428184_D_lowres.tif,dorsal,melpomene,plesseni,female,f._adonis,,hybrid,0,Canelos ECD PA,-1.5833333330000001,-77.75
10428320,10428320_V_lowres.tif,ventral,melpomene,nanna,male,nanna,,valid subspecies,1,Espirito Santo BRA ES,-20.33333333,-40.28333333
10428278,10428278_V_lowres.tif,ventral,melpomene,aglaope,male,f._aglaope,,subspecies synonym,1,Chaupe PER CA,-6.0,-79.16666667
10427986,10427986_V_lowres.tif,ventral,melpomene,rosina,male,rosina,,valid subspecies,1,Puerto Limon CRI LI,9.983333333,-83.06666667
10429190,10429190_V_lowres.tif,ventral,erato,petiverana,male,petiverana,,valid subspecies,1,Turrialba CRI CA,9.883333333,-83.63333333
10428255,10428255_V_lowres.tif,ventral,melpomene,schunkei,female,ab._rubra,,subspecies synonym,0,Inambari PER PU,14.06666667,-90.41666667
