,CAMID,X,Image_name,Side,zenodo_link,Taxonomic.Name
17,15N195,15208,15N195_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N195_d.JPG?download=1,Heliconius erato ssp. venus
18,15N238,15210,15N238_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N238_d.JPG?download=1,Heliconius erato ssp. venus
19,15N239,15212,15N239_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N239_d.JPG?download=1,Heliconius erato ssp. venus
20,15N241,15216,15N241_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N241_d.JPG?download=1,Heliconius erato ssp. venus
21,15N261,15220,15N261_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N261_d.JPG?download=1,Heliconius erato ssp. venus
22,15N309,15228,15N309_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N309_d.JPG?download=1,Heliconius erato ssp. venus
23,15N320,15230,15N320_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N320_d.JPG?download=1,Heliconius erato ssp. venus
24,15N323,15232,15N323_d.JPG,dorsal,https://zenodo.org/record/4289223/files/15N323_d.JPG?download=1,Heliconius erato ssp. venus
25,18N0602,19133,18N0602_d.JPG,dorsal,https://zenodo.org/record/4288311/files/18N0602_d.JPG?download=1,Heliconius erato ssp. lativitta
26,18N0614,19135,18N0614_d.JPG,dorsal,https://zenodo.org/record/4288311/files/18N0614_d.JPG?download=1,Heliconius erato ssp. lativitta
27,18N0651,19137,18N0651_d.JPG,dorsal,https://zenodo.org/record/4288311/files/18N0651_d.JPG?download=1,Heliconius erato ssp. lativitta
28,19N0004,19147,19N0004_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0004_d.JPG?download=1,Heliconius erato ssp. lativitta
29,19N0005,19149,19N0005_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0005_d.JPG?download=1,Heliconius erato ssp. lativitta
30,19N0006,19151,19N0006_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0006_d.JPG?download=1,Heliconius erato ssp. lativitta
31,19N0007,19153,19N0007_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0007_d.JPG?download=1,Heliconius erato ssp. lativitta
32,19N0008,19155,19N0008_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0008_d.JPG?download=1,Heliconius erato ssp. lativitta
33,19N0009,19157,19N0009_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0009_d.JPG?download=1,Heliconius erato ssp. lativitta
34,19N0011,19161,19N0011_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0011_d.JPG?download=1,Heliconius erato ssp. lativitta
35,19N0016,19171,19N0016_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0016_d.JPG?download=1,Heliconius erato ssp. lativitta
36,19N0017,19173,19N0017_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0017_d.JPG?download=1,Heliconius erato ssp. lativitta
37,19N0018,19175,19N0018_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0018_d.JPG?download=1,Heliconius erato ssp. lativitta
38,19N0019,19177,19N0019_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0019_d.JPG?download=1,Heliconius erato ssp. lativitta
39,19N0020,19179,19N0020_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0020_d.JPG?download=1,Heliconius erato ssp. lativitta
40,19N0021,19181,19N0021_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0021_d.JPG?download=1,Heliconius erato ssp. lativitta
41,19N0022,19183,19N0022_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0022_d.JPG?download=1,Heliconius erato ssp. lativitta
42,19N0023,19185,19N0023_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0023_d.JPG?download=1,Heliconius erato ssp. lativitta
43,19N0025,19189,19N0025_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0025_d.JPG?download=1,Heliconius erato ssp. lativitta
44,19N0028,19196,19N0028_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0028_d.JPG?download=1,Heliconius erato ssp. lativitta
45,19N0030,19200,19N0030_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0030_d.JPG?download=1,Heliconius erato ssp. lativitta
46,19N0032,19204,19N0032_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0032_d.JPG?download=1,Heliconius erato ssp. lativitta
47,19N0037,19214,19N0037_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0037_d.JPG?download=1,Heliconius erato ssp. lativitta
48,19N0038,19216,19N0038_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0038_d.JPG?download=1,Heliconius erato ssp. lativitta
49,19N0039,19218,19N0039_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0039_d.JPG?download=1,Heliconius erato ssp. lativitta
50,19N0040,19220,19N0040_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0040_d.JPG?download=1,Heliconius erato ssp. lativitta
51,19N0041,19222,19N0041_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0041_d.JPG?download=1,Heliconius erato ssp. lativitta
52,19N0042,19224,19N0042_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0042_d.JPG?download=1,Heliconius erato ssp. lativitta
53,19N0043,19226,19N0043_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0043_d.JPG?download=1,Heliconius erato ssp. lativitta
54,19N0044,19228,19N0044_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0044_d.JPG?download=1,Heliconius erato ssp. lativitta
55,19N0045,19230,19N0045_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0045_d.JPG?download=1,Heliconius erato ssp. lativitta
56,19N0046,19232,19N0046_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0046_d.JPG?download=1,Heliconius erato ssp. lativitta
57,19N0047,19234,19N0047_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0047_d.JPG?download=1,Heliconius erato ssp. lativitta
58,19N0049,19238,19N0049_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0049_d.JPG?download=1,Heliconius erato ssp. lativitta
59,19N0050,19240,19N0050_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0050_d.JPG?download=1,Heliconius erato ssp. lativitta
60,19N0051,19242,19N0051_d.CR2,dorsal,https://zenodo.org/record/4288311/files/19N0051_d.CR2?download=1,Heliconius erato ssp. lativitta
61,19N0051,19243,19N0051_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0051_d.JPG?download=1,Heliconius erato ssp. lativitta
62,19N0053,19248,19N0053_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0053_d.JPG?download=1,Heliconius erato ssp. lativitta
63,19N0054,19250,19N0054_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0054_d.JPG?download=1,Heliconius erato ssp. lativitta
64,19N0055,19252,19N0055_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0055_d.JPG?download=1,Heliconius erato ssp. lativitta
65,19N0057,19256,19N0057_d.CR2,dorsal,https://zenodo.org/record/4288311/files/19N0057_d.CR2?download=1,Heliconius erato ssp. lativitta
66,19N0057,19257,19N0057_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0057_d.JPG?download=1,Heliconius erato ssp. lativitta
67,19N0060,19264,19N0060_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0060_d.JPG?download=1,Heliconius erato ssp. lativitta
68,19N0062,19269,19N0062_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0062_d.JPG?download=1,Heliconius erato ssp. lativitta
69,19N0064,19273,19N0064_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0064_d.JPG?download=1,Heliconius erato ssp. lativitta
70,19N0065,19275,19N0065_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0065_d.JPG?download=1,Heliconius erato ssp. lativitta
71,19N0066,19277,19N0066_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0066_d.JPG?download=1,Heliconius erato ssp. lativitta
72,19N0067,19279,19N0067_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0067_d.JPG?download=1,Heliconius erato ssp. lativitta
73,19N0069,19283,19N0069_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0069_d.JPG?download=1,Heliconius erato ssp. lativitta
74,19N0070,19285,19N0070_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0070_d.JPG?download=1,Heliconius erato ssp. lativitta
75,19N0071,19287,19N0071_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0071_d.JPG?download=1,Heliconius erato ssp. lativitta
76,19N0072,19289,19N0072_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0072_d.JPG?download=1,Heliconius erato ssp. lativitta
77,19N0077,19299,19N0077_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0077_d.JPG?download=1,Heliconius erato ssp. lativitta
78,19N0079,19303,19N0079_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0079_d.JPG?download=1,Heliconius erato ssp. lativitta
79,19N0080,19305,19N0080_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0080_d.JPG?download=1,Heliconius erato ssp. lativitta
80,19N0081,19307,19N0081_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0081_d.JPG?download=1,Heliconius erato ssp. lativitta
81,19N0082,19309,19N0082_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0082_d.JPG?download=1,Heliconius erato ssp. lativitta
82,19N0083,19311,19N0083_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0083_d.JPG?download=1,Heliconius erato ssp. lativitta
83,19N0085,19315,19N0085_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0085_d.JPG?download=1,Heliconius erato ssp. lativitta
84,19N0087,19319,19N0087_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0087_d.JPG?download=1,Heliconius erato ssp. lativitta
85,19N0090,19325,19N0090_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0090_d.JPG?download=1,Heliconius erato ssp. lativitta
86,19N0092,19329,19N0092_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0092_d.JPG?download=1,Heliconius erato ssp. lativitta
87,19N0093,19331,19N0093_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0093_d.JPG?download=1,Heliconius erato ssp. lativitta
88,19N0104,19353,19N0104_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0104_d.JPG?download=1,Heliconius erato ssp. lativitta
89,19N0108,19361,19N0108_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0108_d.JPG?download=1,Heliconius erato ssp. lativitta
90,19N0109,19363,19N0109_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0109_d.JPG?download=1,Heliconius erato ssp. lativitta
91,19N0113,19371,19N0113_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0113_d.JPG?download=1,Heliconius erato ssp. lativitta
92,19N0120,19385,19N0120_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0120_d.JPG?download=1,Heliconius erato ssp. lativitta
93,19N0121,19387,19N0121_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0121_d.JPG?download=1,Heliconius erato ssp. lativitta
94,19N0122,19389,19N0122_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0122_d.JPG?download=1,Heliconius erato ssp. lativitta
95,19N0124,19393,19N0124_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0124_d.JPG?download=1,Heliconius erato ssp. lativitta
96,19N0125,19395,19N0125_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0125_d.JPG?download=1,Heliconius erato ssp. lativitta
97,19N0129,19403,19N0129_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0129_d.JPG?download=1,Heliconius erato ssp. lativitta
98,19N0132,19409,19N0132_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0132_d.JPG?download=1,Heliconius erato ssp. lativitta
99,19N0138,19421,19N0138_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0138_d.JPG?download=1,Heliconius erato ssp. lativitta
100,19N0142,19429,19N0142_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0142_d.JPG?download=1,Heliconius erato ssp. lativitta
101,19N0143,19431,19N0143_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0143_d.JPG?download=1,Heliconius erato ssp. lativitta
102,19N0145,19435,19N0145_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0145_d.JPG?download=1,Heliconius erato ssp. lativitta
103,19N0146,19437,19N0146_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0146_d.JPG?download=1,Heliconius erato ssp. lativitta
104,19N0149,19443,19N0149_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0149_d.JPG?download=1,Heliconius erato ssp. lativitta
105,19N0151,19447,19N0151_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0151_d.JPG?download=1,Heliconius erato ssp. lativitta
106,19N0154,19453,19N0154_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0154_d.JPG?download=1,Heliconius erato ssp. lativitta
107,19N0155,19455,19N0155_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0155_d.JPG?download=1,Heliconius erato ssp. lativitta
108,19N0156,19457,19N0156_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0156_d.JPG?download=1,Heliconius erato ssp. lativitta
109,19N0157,19459,19N0157_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0157_d.JPG?download=1,Heliconius erato ssp. lativitta
110,19N0159,19463,19N0159_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0159_d.JPG?download=1,Heliconius erato ssp. lativitta
111,19N0161,19467,19N0161_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0161_d.JPG?download=1,Heliconius erato ssp. lativitta
112,19N0165,19475,19N0165_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0165_d.JPG?download=1,Heliconius erato ssp. lativitta
113,19N0166,19477,19N0166_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0166_d.JPG?download=1,Heliconius erato ssp. lativitta
114,19N0167,19479,19N0167_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0167_d.JPG?download=1,Heliconius erato ssp. lativitta
115,19N0168,19481,19N0168_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0168_d.JPG?download=1,Heliconius erato ssp. lativitta
116,19N0176,19497,19N0176_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0176_d.JPG?download=1,Heliconius erato ssp. lativitta
117,19N0188,19521,19N0188_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0188_d.JPG?download=1,Heliconius erato ssp. lativitta
118,19N0189,19523,19N0189_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0189_d.JPG?download=1,Heliconius erato ssp. lativitta
119,19N0191,19527,19N0191_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0191_d.JPG?download=1,Heliconius erato ssp. lativitta
120,19N0192,19529,19N0192_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0192_d.JPG?download=1,Heliconius erato ssp. lativitta
121,19N0193,19531,19N0193_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0193_d.JPG?download=1,Heliconius erato ssp. lativitta
122,19N0195,19535,19N0195_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0195_d.JPG?download=1,Heliconius erato ssp. lativitta
123,19N0197,19539,19N0197_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0197_d.JPG?download=1,Heliconius erato ssp. lativitta
124,19N0198,19541,19N0198_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0198_d.JPG?download=1,Heliconius erato ssp. lativitta
125,19N0199,19543,19N0199_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0199_d.JPG?download=1,Heliconius erato ssp. lativitta
126,19N0200,19545,19N0200_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0200_d.JPG?download=1,Heliconius erato ssp. lativitta
127,19N0201,19547,19N0201_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0201_d.JPG?download=1,Heliconius erato ssp. lativitta
128,19N0202,19549,19N0202_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0202_d.JPG?download=1,Heliconius erato ssp. lativitta
129,19N0203,19551,19N0203_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0203_d.JPG?download=1,Heliconius erato ssp. lativitta
130,19N0204,19553,19N0204_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0204_d.JPG?download=1,Heliconius erato ssp. lativitta
131,19N0210,19565,19N0210_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0210_d.JPG?download=1,Heliconius erato ssp. lativitta
132,19N0211,19567,19N0211_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0211_d.JPG?download=1,Heliconius erato ssp. lativitta
133,19N0213,19571,19N0213_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0213_d.JPG?download=1,Heliconius erato ssp. lativitta
134,19N0214,19573,19N0214_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0214_d.JPG?download=1,Heliconius erato ssp. lativitta
135,19N0215,19575,19N0215_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0215_d.JPG?download=1,Heliconius erato ssp. lativitta
136,19N0216,19577,19N0216_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0216_d.JPG?download=1,Heliconius erato ssp. lativitta
137,19N0219,19583,19N0219_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0219_d.JPG?download=1,Heliconius erato ssp. lativitta
138,19N0220,19585,19N0220_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0220_d.JPG?download=1,Heliconius erato ssp. lativitta
139,19N0221,19587,19N0221_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0221_d.JPG?download=1,Heliconius erato ssp. lativitta
140,19N0222,19589,19N0222_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0222_d.JPG?download=1,Heliconius erato ssp. lativitta
141,19N0223,19591,19N0223_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0223_d.JPG?download=1,Heliconius erato ssp. lativitta
142,19N0224,19593,19N0224_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0224_d.JPG?download=1,Heliconius erato ssp. lativitta
143,19N0228,19601,19N0228_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0228_d.JPG?download=1,Heliconius erato ssp. lativitta
144,19N0236,19617,19N0236_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0236_d.JPG?download=1,Heliconius erato ssp. lativitta
145,19N0238,19621,19N0238_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0238_d.JPG?download=1,Heliconius erato ssp. lativitta
146,19N0239,19623,19N0239_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0239_d.JPG?download=1,Heliconius erato ssp. lativitta
147,19N0240,19625,19N0240_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0240_d.JPG?download=1,Heliconius erato ssp. lativitta
148,19N0241,19627,19N0241_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0241_d.JPG?download=1,Heliconius erato ssp. lativitta
149,19N0245,19635,19N0245_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0245_d.JPG?download=1,Heliconius erato ssp. lativitta
150,19N0250,19645,19N0250_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0250_d.JPG?download=1,Heliconius erato ssp. lativitta
151,19N0252,19649,19N0252_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0252_d.JPG?download=1,Heliconius erato ssp. lativitta
152,19N0253,19651,19N0253_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0253_d.JPG?download=1,Heliconius erato ssp. lativitta
153,19N0254,19653,19N0254_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0254_d.JPG?download=1,Heliconius erato ssp. lativitta
154,19N0256,19657,19N0256_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0256_d.JPG?download=1,Heliconius erato ssp. lativitta
155,19N0258,19661,19N0258_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0258_d.JPG?download=1,Heliconius erato ssp. lativitta
156,19N0263,19671,19N0263_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0263_d.JPG?download=1,Heliconius erato ssp. lativitta
157,19N0264,19673,19N0264_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0264_d.JPG?download=1,Heliconius erato ssp. lativitta
158,19N0265,19675,19N0265_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0265_d.JPG?download=1,Heliconius erato ssp. lativitta
159,19N0266,19677,19N0266_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0266_d.JPG?download=1,Heliconius erato ssp. lativitta
160,19N0268,19681,19N0268_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0268_d.JPG?download=1,Heliconius erato ssp. lativitta
161,19N0269,19684,19N0269_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0269_d.JPG?download=1,Heliconius erato ssp. lativitta
162,19N0270,19686,19N0270_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0270_d.JPG?download=1,Heliconius erato ssp. lativitta
163,19N0271,19688,19N0271_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0271_d.JPG?download=1,Heliconius erato ssp. lativitta
164,19N0272,19690,19N0272_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0272_d.JPG?download=1,Heliconius erato ssp. lativitta
165,19N0273,19692,19N0273_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0273_d.JPG?download=1,Heliconius erato ssp. lativitta
166,19N0274,19694,19N0274_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0274_d.JPG?download=1,Heliconius erato ssp. lativitta
167,19N0276,19698,19N0276_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0276_d.JPG?download=1,Heliconius erato ssp. lativitta
168,19N0277,19700,19N0277_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0277_d.JPG?download=1,Heliconius erato ssp. lativitta
169,19N0282,19710,19N0282_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0282_d.JPG?download=1,Heliconius erato ssp. lativitta
170,19N0283,19712,19N0283_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0283_d.JPG?download=1,Heliconius erato ssp. lativitta
171,19N0284,19714,19N0284_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0284_d.JPG?download=1,Heliconius erato ssp. lativitta
172,19N0285,19716,19N0285_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0285_d.JPG?download=1,Heliconius erato ssp. lativitta
173,19N0287,19718,19N0287_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0287_d.JPG?download=1,Heliconius erato ssp. lativitta
174,19N0295,19724,19N0295_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0295_d.JPG?download=1,Heliconius erato ssp. lativitta
175,19N0296,19726,19N0296_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0296_d.JPG?download=1,Heliconius erato ssp. lativitta
176,19N0297,19728,19N0297_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0297_d.JPG?download=1,Heliconius erato ssp. lativitta
177,19N0303,19738,19N0303_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0303_d.JPG?download=1,Heliconius erato ssp. lativitta
178,19N0305,19742,19N0305_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0305_d.JPG?download=1,Heliconius erato ssp. lativitta
179,19N0308,19746,19N0308_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0308_d.JPG?download=1,Heliconius erato ssp. lativitta
180,19N0309,19748,19N0309_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0309_d.JPG?download=1,Heliconius erato ssp. lativitta
181,19N0318,19756,19N0318_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0318_d.JPG?download=1,Heliconius erato ssp. lativitta
182,19N0320,19760,19N0320_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0320_d.JPG?download=1,Heliconius erato ssp. lativitta
183,19N0326,19768,19N0326_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0326_d.JPG?download=1,Heliconius erato ssp. lativitta
184,19N0331,19772,19N0331_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0331_d.JPG?download=1,Heliconius erato ssp. lativitta
185,19N0332,19774,19N0332_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0332_d.JPG?download=1,Heliconius erato ssp. erato
186,19N0334,19776,19N0334_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0334_d.JPG?download=1,Heliconius erato ssp. lativitta
187,19N0346,19782,19N0346_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0346_d.JPG?download=1,Heliconius erato ssp. lativitta
188,19N0371,19784,19N0371_d.JPG,dorsal,https://zenodo.org/record/4288311/files/19N0371_d.JPG?download=1,Heliconius erato ssp. lativitta
